IDENTIFIER,RESTAURANT_IDENTIFIER,DISHES_IDS,PAYMENT_METHOD,AMOUNT,CREATED_AT
3,7,[3],cash,4,2022-04-09 17:54:07
40,7,"[9, 18]",card,16,2022-05-01 20:56:59
41,13,"[23, 3]",online,9.0,2023-06-10 12:00:28
42,8,"[73, 70, 81]",voucher,47.47,2023-12-08 11:29:38
43,12,"[65, 83]",cash,13.22,2023-11-03 08:05:36
44,3,[50],online,5.93,2025-02-04 22:53:09
45,3,"[74, 67, 83, 23, 61]",cash,63.96,2024-07-01 02:19:20
46,17,"[69, 58, 71, 48, 70]",voucher,56.46,2024-05-20 08:23:45
47,14,"[38, 22, 70, 59, 84]",cash,72.44,2024-01-11 09:48:25
48,9,"[3, 30, 40, 72]",card,42.6,2024-05-18 11:51:14
49,3,[78],online,10.25,2024-02-05 16:21:49
50,17,"[76, 34, 28, 41, 84]",voucher,56.23,2025-01-26 08:36:23
51,9,"[50, 80]",cash,8.17,2023-12-02 01:15:07
52,3,[77],voucher,17.38,2024-12-27 01:39:28
53,12,"[3, 34]",online,21.07,2024-12-24 22:59:11
54,10,[37],voucher,19.31,2023-05-03 17:48:19
55,20,"[64, 67, 44]",online,51.35,2023-12-16 17:21:53
56,16,[87],cash,3.46,2024-02-07 21:31:29
57,16,[21],voucher,16.34,2024-12-12 07:41:43
58,15,"[42, 74]",online,21.19,2023-07-25 01:19:38
59,19,"[49, 55, 69]",online,25.3,2024-12-16 10:35:44
60,18,"[52, 49, 77]",online,31.74,2023-08-31 10:19:34
61,19,[48],voucher,5.57,2024-07-28 19:35:24
62,8,"[38, 20]",cash,34.87,2023-09-06 06:05:19
63,18,"[68, 24]",card,10.7,2024-08-19 11:23:47
64,17,"[27, 42, 56]",online,21.7,2023-12-24 23:05:29
65,14,"[51, 71, 26, 74]",cash,39.94,2023-10-28 12:40:31
66,12,[83],cash,7.75,2024-06-24 23:52:54
67,15,[33],cash,20.6,2025-01-05 03:25:24
68,15,"[37, 30, 44]",voucher,52.78,2023-11-26 05:08:16
69,20,"[63, 89]",cash,22.63,2024-04-29 06:28:05
70,12,"[44, 38, 75]",voucher,55.27,2024-07-08 08:35:49
71,8,"[47, 25, 45]",card,37.92,2023-12-07 17:25:42
72,3,"[59, 50, 72, 21, 89]",voucher,52.93,2023-12-21 13:16:44
73,14,"[75, 53, 60, 38, 85]",card,65.59,2024-02-16 08:59:33
74,12,[85],cash,8.44,2024-02-29 04:08:24
75,18,"[55, 69, 36, 9, 67]",cash,54.32,2025-02-26 21:17:46
76,17,[24],voucher,6.69,2024-11-13 03:32:52
77,11,"[86, 88, 36, 49]",cash,30.13,2024-04-24 12:48:04
78,11,"[90, 83, 85, 3]",cash,30.03,2024-05-26 03:48:44
79,20,"[22, 80]",card,11.05,2023-09-27 00:32:53
80,20,"[76, 26, 76, 61]",cash,52.48,2024-01-09 17:16:11
81,8,"[19, 18, 37, 88, 71]",online,43.4,2024-10-18 02:38:17
82,10,"[41, 44, 90, 23, 80]",voucher,50.37,2025-04-06 10:17:39
83,17,"[56, 25]",voucher,10.01,2024-08-07 05:38:28
84,14,[81],cash,20.0,2024-11-09 21:58:04
85,18,"[61, 20]",card,34.19,2024-11-12 11:33:29
86,10,"[72, 29, 72, 50]",voucher,24.36,2024-05-29 21:29:24
87,7,"[82, 22]",cash,16.18,2023-07-11 11:47:23
88,19,"[77, 61, 81]",cash,56.45,2023-11-18 15:11:22
89,14,[46],voucher,12.94,2024-04-02 03:08:16
90,18,[64],card,7.52,2024-08-03 14:11:33
91,20,"[90, 22, 24]",online,25.34,2024-09-28 15:18:09
92,20,"[39, 22]",voucher,20.0,2023-04-25 21:38:34
93,11,"[64, 52, 43, 37]",card,52.17,2023-09-02 07:45:52
94,7,"[34, 89, 74, 53, 49]",voucher,62.52,2023-07-12 19:22:45
95,9,"[50, 69, 40, 52, 24]",voucher,53.22,2024-12-07 00:10:47
96,3,"[40, 88, 21]",card,42.47,2023-11-09 11:15:40
97,14,"[25, 77, 54]",cash,31.6,2023-06-14 04:58:42
